tweet_id,term,pos,pos_fre,neg_fre,label
0,sampah,n,3,1,0
2,cek,n,2,0,0
2,tolong,v,5,0,0
3,hilang,v,0,10,0
4,malam,n,0,1,1
4,maaf,n,0,1,1
4,salam,n,3,0,1
5,maaf,n,0,1,1
5,manual,adj,0,1,1
5,cara,n,7,0,1
6,lambat,adj,0,3,0
6,canda,n,1,0,0
6,lambat,adj,0,3,0
7,kali,n,1,0,0
7,gagal,v,0,11,0
8,cantik,adj,15,0,1
8,manual,adj,0,1,1
8,sukses,adj,1,0,1
10,tolong,v,5,0,0
10,tolong,v,5,0,0
11,kenan,v,0,1,1
12,maaf,n,0,1,1
13,gagal,v,0,11,0
14,aktif,adj,6,2,0
16,cek,n,2,0,1
17,jalan,n,1,1,0
18,mohon,v,1,0,1
18,maaf,n,0,1,1
18,aplikasi,n,1,0,1
18,jalan,n,1,1,1
19,maaf,n,0,1,1
19,nyaman,adj,3,1,1
19,cek,n,2,0,1
19,nama,n,1,0,1
20,selamat,adj,3,2,0
20,hilang,v,0,10,0
21,tolong,v,5,0,1
21,cek,n,2,0,1
24,air,n,1,0,1
24,maaf,n,0,1,1
24,potong,n,1,1,1
24,nama,n,1,0,1
24,sisa,n,0,1,1
25,maaf,n,0,1,1
25,cek,n,2,0,1
25,nama,n,1,0,1
26,cek,n,2,0,1
27,maaf,n,0,1,1
27,nyaman,adj,3,1,1
28,maaf,n,0,1,1
28,nyaman,adj,3,1,1
28,manual,adj,0,1,1
29,maaf,n,0,1,1
29,alam,n,1,1,1
29,nama,n,1,0,1
29,aktif,adj,6,2,1
29,nama,n,1,0,1
30,sisa,n,0,1,0
31,normal,adj,2,2,1
31,tahu,v,4,0,1
32,bulan,n,1,0,0
32,hilang,v,0,10,0
33,kena,v,0,1,0
34,mohon,v,1,0,1
34,maaf,n,0,1,1
34,aplikasi,n,1,0,1
34,jalan,n,1,1,1
35,jalan,n,1,1,1
36,maaf,n,0,1,1
36,manual,adj,0,1,1
36,masuk,v,1,0,1
37,mohon,v,1,0,1
37,maaf,n,0,1,1
37,mohon,v,1,0,1
37,sisa,n,0,1,1
37,aktif,adj,6,2,1
38,problem,n,0,1,1
39,baik,adj,12,0,1
39,nama,n,1,0,1
39,jalan,n,1,1,1
40,maaf,n,0,1,1
40,baca,v,1,0,1
40,respons,n,1,0,1
41,buruk,adj,0,18,1
41,kasih,n,4,0,1
41,wilayah,n,3,1,1
43,mohon,v,1,0,1
43,cek,n,2,0,1
43,balas,v,0,1,1
43,salam,n,3,0,1
44,maaf,n,0,1,1
44,manual,adj,0,1,1
44,cara,n,7,0,1
45,mohon,v,1,0,1
45,maaf,n,0,1,1
46,not,n,1,1,0
47,mohon,v,1,0,1
47,maaf,n,0,1,1
47,alam,n,1,1,1
47,saat,n,1,1,1
49,mohon,v,1,0,1
49,waktu,n,4,1,1
49,jadi,v,1,1,1
49,tanggal,v,1,0,1
50,maaf,n,0,1,1
50,manual,adj,0,1,1
50,masuk,v,1,0,1
52,mohon,v,1,0,0
52,buka,v,1,2,0
52,salah,v,0,2,0
53,hilang,v,0,10,0
53,putus,v,1,2,0
54,wilayah,n,3,1,0
57,tolong,v,5,0,0
57,hilang,v,0,10,0
57,bagus,adj,12,0,0
60,maaf,n,0,1,1
60,nyaman,adj,3,1,1
61,ganggu,v,0,3,0
61,mode,n,1,0,0
61,tukar,v,1,1,0
61,normal,adj,2,2,0
62,mohon,v,1,0,0
62,jelas,adj,15,3,0
63,cek,n,2,0,1
64,sama,v,1,0,0
64,menang,v,1,0,0
64,bintang,n,1,0,0
68,maaf,n,0,1,1
68,nyaman,adj,3,1,1
69,sayang,adj,3,1,0
69,pas,n,1,0,0
69,ganggu,v,0,3,0
70,muncul,v,3,2,0
70,mohon,v,1,0,0
71,sabar,adj,3,0,0
72,ganggu,v,0,3,0
72,jalan,n,1,1,0
73,hari,n,4,0,0
73,sela,n,1,0,0
74,jelek,adj,1,2,0
76,jelek,adj,1,2,0
77,cek,n,2,0,1
77,aplikasi,n,1,0,1
78,tolong,v,5,0,0
78,cek,n,2,0,0
79,kasih,n,4,0,1
80,suka,adj,3,1,0
80,hilang,v,0,10,0
82,ada,v,5,0,0
82,hilang,v,0,10,0
82,muncul,v,3,2,0
83,maaf,n,0,1,1
83,alam,n,1,1,1
84,gagal,v,0,11,0
85,maaf,n,0,1,0
86,maaf,n,0,1,1
86,nyaman,adj,3,1,1
86,manual,adj,0,1,1
87,kasih,n,4,0,1
87,sukses,adj,1,0,1
87,salam,n,3,0,1
88,selamat,adj,3,2,1
88,kasih,n,4,0,1
90,aktif,adj,6,2,0
90,tunggu,v,0,1,0
90,kasih,n,4,0,0
92,cek,n,2,0,0
95,jelek,adj,1,2,0
96,tolong,v,5,0,0
98,ubah,v,0,1,1
100,batang,n,0,1,0
100,timbul,v,3,1,0
101,batang,n,0,1,0
101,muncul,v,3,2,0
102,tinggal,v,2,1,1
103,cerita,n,0,1,0
104,hilang,v,0,10,0
105,tolong,v,5,0,0
105,cek,n,2,0,0
107,ganggu,v,0,3,0
108,maaf,n,0,1,1
108,abai,adj,0,1,1
110,ganggu,v,0,3,0
111,mohon,v,1,0,0
111,cek,n,2,0,0
111,hilang,v,0,10,0
111,raib,v,0,2,0
111,isi,n,1,0,0
113,mohon,v,1,0,1
113,maaf,n,0,1,1
113,cek,n,2,0,1
114,tolong,v,5,0,0
114,kredit,n,1,0,0
114,isi,n,1,0,0
114,utama,adj,12,1,0
114,potong,n,1,1,0
115,tingkat,n,1,1,1
116,maaf,n,0,1,1
116,alam,n,1,1,1
116,nama,n,1,0,1
116,jalan,n,1,1,1
117,maaf,n,0,1,1
117,pasti,adj,6,6,1
117,isi,n,1,0,1
118,tolong,v,5,0,0
118,isi,n,1,0,0
118,teliti,adj,10,1,0
119,stabil,adj,1,3,0
119,kerja,n,3,1,0
120,daerah,n,4,2,0
122,mohon,v,1,0,1
122,maaf,n,0,1,1
122,alam,n,1,1,1
122,saat,n,1,1,1
123,balas,v,0,1,1
123,cek,n,2,0,1
123,salam,n,3,0,1
124,tolong,v,5,0,0
124,tolong,v,5,0,0
125,balas,v,0,1,1
125,cek,n,2,0,1
125,salam,n,3,0,1
126,mohon,v,1,0,1
126,maaf,n,0,1,1
126,alam,n,1,1,1
126,saat,n,1,1,1
127,kondisi,n,1,0,1
127,kualitas,n,3,0,1
128,panas,adj,5,6,0
128,pasang,n,1,0,0
130,wilayah,n,3,1,0
130,lancar,adj,2,2,0
130,jaya,adj,1,0,0
130,lambat,adj,0,3,0
131,suka,adj,3,1,0
131,tolong,v,5,0,0
132,kaget,adj,0,1,0
132,makan,v,9,5,0
132,lumayan,adj,3,2,0
132,gede,adj,3,0,0
132,aplikasi,n,1,0,0
132,maklum,v,3,0,0
133,wahyu,n,1,1,1
133,maaf,n,0,1,1
133,nyaman,adj,3,1,1
133,tutup,n,0,1,1
133,aplikasi,n,1,0,1
134,maaf,n,0,1,1
134,alam,n,1,1,1
134,manual,adj,0,1,1
135,tolong,v,5,0,0
135,cek,n,2,0,0
136,niat,n,0,1,0
136,main,v,3,0,0
136,curang,adj,0,1,0
137,potong,n,1,1,0
137,sampai,v,2,1,0
137,kecewa,adj,0,3,0
139,manual,adj,0,1,0
139,hasil,n,3,2,0
140,kali,n,1,0,0
140,normal,adj,2,2,0
141,lambat,adj,0,3,0
141,sama,v,1,0,0
143,telat,adj,0,1,0
143,niat,n,0,1,0
144,gagal,v,0,11,0
147,banyak,adj,7,5,1
148,misteri,n,1,0,0
148,pecah,n,0,1,0
150,misteri,n,1,0,0
150,pecah,n,0,1,0
151,beda,n,0,1,1
152,baik,adj,12,0,1
152,maaf,n,0,1,1
152,nyaman,adj,3,1,1
152,manual,adj,0,1,1
152,cara,n,7,0,1
153,curang,adj,0,1,0
153,main,v,3,0,0
154,sayang,adj,3,1,0
154,set,n,1,0,0
155,lengkap,adj,3,0,1
155,balas,v,0,1,1
155,cek,n,2,0,1
155,salam,n,3,0,1
156,curang,adj,0,1,0
157,buka,v,1,2,0
159,maaf,n,0,1,1
159,saat,n,1,1,1
159,mohon,v,1,0,1
159,tunggu,v,0,1,1
161,bonus,n,1,0,1
162,makan,v,9,5,1
162,wakil,n,1,0,1
164,mohon,v,1,0,1
164,maaf,n,0,1,1
164,alam,n,1,1,1
164,saat,n,1,1,1
165,migrasi,n,0,1,0
165,wakil,n,1,0,0
166,baik,adj,12,0,1
166,maaf,n,0,1,1
166,nyaman,adj,3,1,1
166,manual,adj,0,1,1
166,cara,n,7,0,1
168,baik,adj,12,0,1
169,selamat,adj,3,2,0
169,turun,v,1,6,0
170,aktif,adj,6,2,0
170,aktif,adj,6,2,0
171,curang,adj,0,1,0
171,curang,adj,0,1,0
172,banyak,adj,7,5,0
172,susah,adj,2,10,0
173,mohon,v,1,0,1
173,cek,n,2,0,1
173,lupa,v,1,1,1
173,jaga,v,4,4,1
174,cek,n,2,0,1
175,cek,n,2,0,1
176,mohon,v,1,0,1
176,cek,n,2,0,1
179,rela,v,2,0,0
180,utama,adj,12,1,1
181,lambat,adj,0,3,0
182,tiba,v,2,1,0
182,tiba,v,2,1,0
182,ada,v,5,0,0
182,ikut,v,3,1,0
183,aplikasi,n,1,0,0
183,faedah,n,3,0,0
184,baik,adj,12,0,1
184,renda,n,0,1,1
184,mohon,v,1,0,1
184,maaf,n,0,1,1
184,alam,n,1,1,1
184,nama,n,1,0,1
185,maaf,n,0,1,1
185,alam,n,1,1,1
185,salam,n,3,0,1
187,maaf,n,0,1,0
187,utama,adj,12,1,0
188,tiket,n,1,0,0
188,baik,adj,12,0,0
189,maaf,n,0,1,1
189,alam,n,1,1,1
189,lengkap,adj,3,0,1
190,cek,n,2,0,1
194,balas,v,0,1,0
194,bawah,n,0,1,0
194,mas,n,0,1,0
196,ganggu,v,0,3,0
197,maaf,n,0,1,1
197,alam,n,1,1,1
198,tolong,v,5,0,0
199,mohon,v,1,0,1
199,maaf,n,0,1,1
199,dekat,adj,2,2,1
200,masuk,v,1,0,0
200,tolong,v,5,0,0
200,stop,n,1,0,0
201,jelek,adj,1,2,0
202,tolong,v,5,0,1
202,cek,n,2,0,1
204,tahu,v,4,0,1
207,sama,v,1,0,0
209,maaf,n,0,1,1
209,aplikasi,n,1,0,1
209,tutup,n,0,1,1
209,aplikasi,n,1,0,1
209,jalan,n,1,1,1
209,sama,v,1,0,1
209,mas,n,0,1,1
210,mohon,v,1,0,1
210,tunggu,v,0,1,1
211,selamat,adj,3,2,0
213,beda,n,0,1,0
213,buka,v,1,2,0
213,isi,n,1,0,0
214,maaf,n,0,1,1
214,alam,n,1,1,1
215,beda,n,0,1,1
217,salam,n,3,0,1
218,tunggu,v,0,1,0
218,modal,n,1,0,0
218,bacot,n,0,1,0
219,becus,adj,1,0,0
219,usaha,n,5,3,0
219,modal,n,1,0,0
219,bacot,n,0,1,0
219,busuk,adj,0,9,0
220,kek,n,0,1,0
220,ada,v,5,0,0
220,ribut,adj,1,1,0
221,cek,n,2,0,1
222,kacau,adj,1,4,0
223,buruk,adj,0,18,0
224,manual,adj,0,1,1
224,ubah,v,0,1,1
225,cek,n,2,0,1
225,tunggu,v,0,1,1
225,salam,n,3,0,1
227,balas,v,0,1,1
227,cek,n,2,0,1
227,salam,n,3,0,1
228,liat,adj,1,4,1
229,lambat,adj,0,3,0
229,ada,v,5,0,0
230,maaf,n,0,1,1
230,agar,k,1,0,1
230,cek,n,2,0,1
231,selamat,adj,3,2,0
231,malam,n,0,1,0
231,kali,n,1,0,0
231,cek,n,2,0,0
231,muncul,v,3,2,0
233,bapuk,n,1,0,0
235,banyak,adj,7,5,0
235,harga,n,1,0,0
236,gendeng,adj,0,2,0
236,mending,adj,2,0,0
237,kualitas,n,3,0,0
238,ambil,v,1,0,1
238,pasang,n,1,0,1
239,tolong,v,5,0,0
239,cek,n,2,0,0
241,larang,v,1,0,0
242,malam,n,0,1,0
242,kaya,adj,2,2,0
242,jelek,adj,1,2,0
242,kualitas,n,3,0,0
243,cocok,v,2,1,1
245,lambat,adj,0,3,0
245,padam,adj,1,3,0
246,maaf,n,0,1,1
246,mohon,v,1,0,1
246,nama,n,1,0,1
248,maaf,n,0,1,1
248,agar,k,1,0,1
248,cek,n,2,0,1
249,kucing,n,1,0,0
250,gada,n,1,0,0
251,betul,adj,8,1,1
251,anak,n,2,1,1
251,ganggu,v,0,3,1
251,manfaat,n,1,0,1
254,mohon,v,1,0,1
254,maaf,n,0,1,1
257,maaf,n,0,1,1
257,alam,n,1,1,1
257,mohon,v,1,0,1
259,malam,n,0,1,0
259,utama,adj,12,1,0
259,habis,v,2,0,0
260,maaf,n,0,1,1
260,alam,n,1,1,1
260,nama,n,1,0,1
261,beda,n,0,1,1
264,waktu,n,4,1,0
264,cepat,adj,9,3,0
266,baik,adj,12,0,1
267,balas,v,0,1,1
267,cek,n,2,0,1
267,salam,n,3,0,1
268,balas,v,0,1,1
268,cek,n,2,0,1
268,salam,n,3,0,1
269,isi,n,1,0,0
269,manual,adj,0,1,0
271,maaf,n,0,1,1
271,alam,n,1,1,1
271,manual,adj,0,1,1
272,busuk,adj,0,9,0
274,rusak,adj,0,1,0
274,jadi,v,1,1,0
275,kucing,n,1,0,0
276,kasihan,n,0,3,0
276,liat,adj,1,4,0
277,tera,n,1,0,0
278,bagus,adj,12,0,1
278,daerah,n,4,2,1
278,cepat,adj,9,3,1
279,gagal,v,0,11,0
279,agen,n,1,0,0
280,kondisi,n,1,0,1
280,seri,n,1,0,1
281,cek,n,2,0,1
282,isi,n,1,0,0
282,proses,n,0,1,0
283,maaf,n,0,1,1
283,cek,n,2,0,1
284,tarik,v,0,1,1
284,harga,n,1,0,1
285,cek,n,2,0,0
285,cepat,adj,9,3,0
285,batas,n,1,1,0
285,normal,adj,2,2,0
291,tolong,v,5,0,0
291,daerah,n,4,2,0
291,habis,v,2,0,0
291,hujan,n,0,1,0
291,parah,adj,1,4,0
291,jelek,adj,1,2,0
292,cek,n,2,0,1
293,bayu,n,0,1,1
293,mohon,v,1,0,1
293,maaf,n,0,1,1
293,kondisi,n,1,0,1
293,nama,n,1,0,1
293,lengkap,adj,3,0,1
293,sisa,n,0,1,1
294,maaf,n,0,1,1
296,buruk,adj,0,18,0
297,hormat,adj,2,1,0
298,salam,n,3,0,1
300,parah,adj,1,4,0
301,maaf,n,0,1,1
301,alam,n,1,1,1
301,tutup,n,0,1,1
301,aplikasi,n,1,0,1
302,pas,n,1,0,1
302,cek,n,2,0,1
303,setan,n,0,3,0
303,sian,pron,1,0,0
303,sian,pron,1,0,0
304,beda,n,0,1,0
305,lambat,adj,0,3,0
306,mati,v,1,4,0
306,jelek,adj,1,2,0
307,manual,adj,0,1,1
307,sukses,adj,1,0,1
308,cek,n,2,0,1
309,cek,n,2,0,1
310,buat,v,1,1,0
311,kawan,n,4,0,0
313,potong,n,1,1,0
313,utama,adj,12,1,0
313,mas,n,0,1,0
314,maaf,n,0,1,1
314,alam,n,1,1,1
315,aman,adj,6,4,0
315,dasar,n,3,3,0
316,kena,v,0,1,0
316,angin,n,2,0,0
320,selamat,adj,3,2,1
320,malam,n,0,1,1
320,tolong,v,5,0,1
320,cek,n,2,0,1
320,kasih,n,4,0,1
321,agar,k,1,0,0
321,cepat,adj,9,3,0
322,lambat,adj,0,3,0
323,maaf,n,0,1,1
323,alam,n,1,1,1
323,cek,n,2,0,1
323,nama,n,1,0,1
324,kali,n,1,0,0
326,tolong,v,5,0,1
326,cek,n,2,0,1
327,tolong,v,5,0,0
328,ambil,v,1,0,0
329,nama,n,1,0,1
329,lengkap,adj,3,0,1
330,ganggu,v,0,3,0
331,potong,n,1,1,0
332,cek,n,2,0,1
333,cek,n,2,0,1
337,bebas,v,2,0,0
337,habis,v,2,0,0
338,tolong,v,5,0,0
338,balas,v,0,1,0
339,tolong,v,5,0,1
339,cek,n,2,0,1
340,payah,adj,1,7,0
341,cek,n,2,0,1
343,jelek,adj,1,2,0
343,parah,adj,1,4,0
344,masuk,v,1,0,0
344,lempar,v,1,0,0
345,mohon,v,1,0,1
345,maaf,n,0,1,1
345,alam,n,1,1,1
345,saat,n,1,1,1
348,maaf,n,0,1,1
348,alam,n,1,1,1
348,kena,v,0,1,1
350,lambat,adj,0,3,1
350,sampah,n,3,1,1
350,aplikasi,n,1,0,1
350,stop,n,1,0,1
350,aplikasi,n,1,0,1
350,jalan,n,1,1,1
351,aktif,adj,6,2,0
351,bulan,n,1,0,0
351,tolong,v,5,0,0
352,ganggu,v,0,3,0
352,lambat,adj,0,3,0
353,mohon,v,1,0,1
353,maaf,n,0,1,1
353,alam,n,1,1,1
355,gagal,v,0,11,0
355,kembali,v,1,0,0
356,cek,n,2,0,1
357,maaf,n,0,1,1
357,alam,n,1,1,1
357,masalah,n,2,7,1
357,balas,v,0,1,1
358,cek,n,2,0,1
359,gagal,v,0,11,0
359,muncul,v,3,2,0
359,aplikasi,n,1,0,0
360,lambat,adj,0,3,0
361,kecewa,adj,0,3,0
361,masalah,n,2,7,0
361,baik,adj,12,0,0
362,salam,n,3,0,0
363,maaf,n,0,1,1
363,baca,v,1,0,1
363,sistem,n,2,1,1
365,maaf,n,0,1,1
365,alam,n,1,1,1
365,agar,k,1,0,1
365,mohon,v,1,0,1
366,tolong,v,5,0,0
366,hari,n,4,0,0
366,kek,n,0,1,0
367,cek,n,2,0,1
369,cara,n,7,0,0
371,cek,n,2,0,0
372,kembali,v,1,0,1
372,kasih,n,4,0,1
372,kasih,n,4,0,1
376,isi,n,1,0,0
376,utama,adj,12,1,0
376,aktif,adj,6,2,0
376,tolong,v,5,0,0
378,ubah,v,0,1,0
380,maaf,n,0,1,1
380,manual,adj,0,1,1
380,cara,n,7,0,1
381,bahkan,k,3,1,0
382,buka,v,1,2,0
382,baca,v,1,0,0
385,maaf,n,0,1,1
387,ragu,adj,1,0,1
388,masuk,v,1,0,0
389,parah,adj,1,4,0
389,tangan,n,2,0,0
390,baik,adj,12,0,1
390,kasih,n,4,0,1
390,mohon,v,1,0,1
390,tunggu,v,0,1,1
390,salam,n,3,0,1
391,potong,n,1,1,0
391,sukses,adj,1,0,0
393,mohon,v,1,0,1
393,maaf,n,0,1,1
393,alam,n,1,1,1
393,saat,n,1,1,1
394,balas,v,0,1,0
396,cek,n,2,0,0
397,maaf,n,0,1,1
397,batas,n,1,1,1
397,cek,n,2,0,1
397,salam,n,3,0,1
398,hilang,v,0,10,0
399,maaf,n,0,1,1
399,alam,n,1,1,1
399,manual,adj,0,1,1
401,siap,v,2,0,0
402,sama,v,1,0,1
405,cek,n,2,0,1
406,tolong,v,5,0,1
406,cek,n,2,0,1
410,baik,adj,12,0,1
410,cek,n,2,0,1
410,mohon,v,1,0,1
410,tunggu,v,0,1,1
412,balas,v,0,1,1
412,lupa,v,1,1,1
412,jaga,v,4,4,1
412,sehat,adj,2,0,1
413,tolong,v,5,0,0
413,cek,n,2,0,0
414,tolong,v,5,0,0
414,balas,v,0,1,0
415,bingung,adj,0,6,0
416,cek,n,2,0,1
417,cek,n,2,0,1
417,aktif,adj,6,2,1
417,pasti,adj,6,6,1
418,balas,v,0,1,1
418,lupa,v,1,1,1
418,jaga,v,4,4,1
418,sehat,adj,2,0,1
419,cek,n,2,0,0
419,gagal,v,0,11,0
420,tolong,v,5,0,0
420,duri,n,1,0,0
423,maaf,n,0,1,1
423,cek,n,2,0,1
423,nama,n,1,0,1
423,aktif,adj,6,2,1
424,mohon,v,1,0,1
424,waktu,n,4,1,1
424,jadi,v,1,1,1
424,tanggal,v,1,0,1
425,maaf,n,0,1,1
425,manual,adj,0,1,1
425,masuk,v,1,0,1
426,malam,n,0,1,0
427,kena,v,0,1,0
427,ban,n,1,0,0
427,bom,n,0,1,0
428,salam,n,3,0,1
429,cek,n,2,0,1
430,maaf,n,0,1,1
430,nama,n,1,0,1
430,alamat,n,0,1,1
430,tanggal,v,1,0,1
431,tolong,v,5,0,0
432,cek,n,2,0,1
433,konyol,adj,1,0,0
436,cek,n,2,0,1
437,ubah,v,0,1,0
438,kerja,n,3,1,0
438,mati,v,1,4,0
439,ki,n,1,0,0
440,cek,n,2,0,1
441,kembang,v,3,0,0
442,maaf,n,0,1,1
442,alam,n,1,1,1
442,rasa,n,5,3,1
442,cek,n,2,0,1
442,balas,v,0,1,1
443,maaf,n,0,1,1
443,nyaman,adj,3,1,1
443,mohon,v,1,0,1
447,tolong,v,5,0,1
447,cek,n,2,0,1
449,cek,n,2,0,1
450,maaf,n,0,1,1
450,alam,n,1,1,1
450,rasa,n,5,3,1
450,cek,n,2,0,1
450,balas,v,0,1,1
452,maaf,n,0,1,1
452,nama,n,1,0,1
453,kentang,n,0,1,0
453,kali,n,1,0,0
454,maaf,n,0,1,0
454,kaya,adj,2,2,0
454,kasih,n,4,0,0
455,maaf,n,0,1,1
456,babi,n,1,2,0
456,gulung,n,1,0,0
456,babi,n,1,2,0
457,mohon,v,1,0,1
457,maaf,n,0,1,1
459,maaf,n,0,1,1
459,agar,k,1,0,1
459,cek,n,2,0,1
460,hobi,n,2,0,0
461,tolong,v,5,0,0
462,baik,adj,12,0,0
462,aplikasi,n,1,0,0
462,ada,v,5,0,0
463,salam,n,3,0,1
464,menang,v,1,0,0
464,tolong,v,5,0,0
465,lengkap,adj,3,0,0
465,cek,n,2,0,0
465,lengkap,adj,3,0,0
466,buruk,adj,0,18,0
466,alam,n,1,1,0
467,salam,n,3,0,1
468,waspada,adj,7,0,0
468,mandiri,adj,0,1,0
468,beda,n,0,1,0
468,bentuk,n,1,1,0
468,garis,n,0,1,0
469,waspada,adj,7,0,0
469,mandiri,adj,0,1,0
469,beda,n,0,1,0
469,bentuk,n,1,1,0
469,garis,n,0,1,0
469,anggap,v,1,1,0
470,tolong,v,5,0,0
471,maaf,n,0,1,1
471,alam,n,1,1,1
471,manual,adj,0,1,1
472,balas,v,0,1,1
472,cek,n,2,0,1
473,merah,n,1,1,0
475,maaf,n,0,1,1
475,alam,n,1,1,1
475,manual,adj,0,1,1
476,kasih,n,4,0,0
476,potong,n,1,1,0
476,posisi,n,2,1,0
477,tolong,v,5,0,0
477,jalan,n,1,1,0
480,baik,adj,12,0,1
480,kasih,n,4,0,1
480,mohon,v,1,0,1
480,tunggu,v,0,1,1
480,salam,n,3,0,1
481,nama,n,1,0,1
481,lengkap,adj,3,0,1
482,cek,n,2,0,1
483,cek,n,2,0,0
483,salah,v,0,2,0
484,mohon,v,1,0,1
484,maaf,n,0,1,1
484,bonus,n,1,0,1
484,cek,n,2,0,1
485,cek,n,2,0,1
486,mohon,v,1,0,1
486,maaf,n,0,1,1
486,mohon,v,1,0,1
486,sisa,n,0,1,1
486,aktif,adj,6,2,1
487,salah,v,0,2,0
488,jelek,adj,1,2,0
488,sumpah,n,1,2,0
490,tolong,v,5,0,0
491,maaf,n,0,1,1
491,alam,n,1,1,1
491,agar,k,1,0,1
